quiet,28,0,4,0,6,7,1,3,1,0,3,0,3,0
late,83,0,19,1,22,24,2,2,1,1,10,0,1,0
true,50,0,6,0,14,5,3,4,3,1,12,0,2,0
fantast,21,0,1,0,2,1,4,6,2,0,5,0,0,0
sequel,2,0,0,0,0,1,1,0,0,0,0,0,0,0
wish,274,0,51,5,44,74,11,30,14,4,31,0,9,1
introduc,2,0,0,0,0,0,2,0,0,0,0,0,0,0
franklin,2,0,0,0,1,0,1,0,0,0,0,0,0,0
charact,14,0,2,0,4,2,1,2,1,1,1,0,0,0
okay,59,1,3,0,10,22,2,4,1,1,9,1,5,0
twitter,324,13,24,7,95,53,16,29,20,12,40,1,14,0
laptop,31,1,3,0,5,8,3,2,1,0,5,0,3,0
complet,53,1,6,3,13,5,1,6,1,1,12,0,4,0
broke,29,0,7,0,0,13,3,0,1,2,1,0,2,0
comput,48,5,6,0,9,15,0,3,2,4,3,0,1,0
act,15,0,4,2,2,2,0,0,2,1,2,0,0,0
reckon,4,0,3,0,0,0,0,0,0,0,1,0,0,0
feel,428,4,70,4,54,136,15,25,19,14,52,3,30,2
kind,63,0,10,1,13,10,3,6,1,2,11,0,6,0
well,405,3,45,12,69,76,19,39,26,10,71,0,34,1
right,233,4,25,5,56,46,12,23,14,10,25,1,9,3
go,1117,20,149,30,257,225,50,79,59,34,156,8,45,5
day,1000,17,96,22,147,161,46,151,40,17,234,2,66,1
still,310,10,35,5,58,84,18,23,15,8,32,5,17,0
new,463,9,29,16,107,49,29,60,27,6,105,1,24,1
confus,14,1,3,0,2,6,2,0,0,0,0,0,0,0
god,76,2,6,0,5,18,5,10,2,6,8,0,13,1
damn,94,4,15,1,9,24,9,5,5,16,3,2,1,0
stop,99,4,11,3,15,21,7,7,2,7,11,3,8,0
eat,153,5,14,2,34,32,5,9,11,7,23,0,10,1
one,519,10,49,11,128,95,28,59,30,11,77,0,20,1
week,276,2,27,9,60,41,14,19,21,7,57,1,17,1
realli,437,9,54,11,53,110,30,53,18,18,61,4,15,1
mean,110,8,16,3,18,21,10,2,13,3,11,1,4,0
joke,13,0,1,0,0,4,0,1,3,1,2,0,1,0
play,179,4,14,5,44,28,9,13,23,5,32,0,2,0
get,921,17,117,20,175,229,46,52,51,32,128,5,44,5
excit,126,2,8,5,8,10,8,16,8,1,52,0,8,0
weekend,198,6,34,5,23,30,6,23,12,4,43,0,12,0
hang,44,0,4,3,9,10,1,3,3,1,9,0,1,0
alon,36,0,8,2,8,6,1,5,1,0,3,0,2,0
never,154,4,22,3,26,43,12,8,8,8,12,0,8,0
mind,47,1,3,4,15,6,1,2,2,3,6,0,4,0
lost,79,1,18,0,12,27,7,3,2,2,4,1,2,0
hi,103,4,6,3,30,10,7,11,7,0,21,1,3,0
hope,462,3,26,21,59,139,12,58,12,7,92,1,32,0
